lon,lat
-130.004785563058,45.9207755734405
-130.010476202888,45.9238241104543
-130.018881564079,45.9351908809594
-130.023946125193,45.9412238501725
-130.028718653506,45.949881200114
-130.03045121938,45.9511765797916
-130.03067948565,45.9542732243167
-130.031733279709,45.9558130656063
-130.0314446535,45.9586760104296
-130.036188782208,45.9656647517656
-130.036950110789,45.9698291665232
-130.039953347,45.9750458167927
-130.038595675479,45.9847117727418
-130.035927416999,45.9883113986506
-130.018067675296,45.993358288674
-130.013629193751,45.993755284135
-130.010365710979,45.9929499241491
-130.008647442296,45.9924883829037
-130.007262470669,45.9915471582374
-130.006042022411,45.9902469280907
-130.00517862949,45.989777805361
-130.001868199523,45.9863506519894
-130.001154359192,45.9846883853932
-130.000949059432,45.9827833001814
-129.99939353433,45.9818434725493
-129.997797388662,45.9786395525337
-129.995357566829,45.9760388622191
-129.993956176267,45.9741441737512
-129.993678708114,45.9681875631427
-129.993140494256,45.9667620754035
-129.992087550788,45.9652218741086
-129.991186410747,45.9626077204113
-129.989604036931,45.960118640732
-129.989238986151,45.9588108137369
-129.989728217453,45.9574955894078
-129.98548409867,45.9494279735802
-129.98478812249,45.9487188881587
